숙소명,포함된_고유명사(TF-IDF),장애인편의시설
춘천베어스관광호텔,"{'춘천': 0.443, '강촌': 0.138, '남이섬': 0.138}",X
레고랜드호텔,"{'하중도': 0.16, '춘천역': 0.147, '공지천': 0.132}","계단 난간
휠체어 이용 가능
계단 없는 주 출입구
장애인 지원 객실
점자 안내판
"
에스파스호스텔,"{'춘천': 0.282, '명동': 0.218, '강촌': 0.176, '남이섬': 0.176}",X
도도스테이,{'춘천': 0.228},X
호텔 인트로,"{'강촌': 0.547, '춘천': 0.109}",X
강촌 느티나무마을펜션,"{'춘천': 0.436, '봉의동': 0.119, '춘천역': 0.103, '춘천시': 0.091}",X
춘천세종호텔,"{'강촌역': 0.373, '강촌': 0.284}","장애인 주차장 있음(3대), 출입구까지 경사로가 설치되어 있음, 엘리베이터 있음, 장애인 화장실 있음, 음성안내기 있음"
강촌w펜션,{'강촌': 0.267},X
강촌잠빌펜션,{'춘천': 0.194},X
수한예,"{'춘천': 0.172, '강원도': 0.11}",X
해피리버펜션,"{'남면': 0.233, '춘천시': 0.197}",X
수하늘펜션,"{'남이섬': 0.574, '강원': 0.126, '춘천': 0.115}",X
호텔정관루별관(콘도별장),"{'춘천': 0.335, '명동': 0.259, '강원도': 0.107}",X
SH게스트하우스,{},X
로하스테이,{},X
한율재,"{'의암호': 0.353, '춘천': 0.24, '공지천': 0.153}",X
케이티엔지(KT&G) 상상마당춘천스테이,"{'춘천': 0.259, '의암호': 0.191, '공지천': 0.165, '강원도': 0.083}","장애인 전용 주차구역 있음, 출입구까지 경사로가 설치되어 있음, 휠체어대여가능, 엘리베이터 있음, 장애인 화장실 있음, 장애인 객실 있음, 식음업장 의자/테이블 있음, 욕실 있음, 점자블록 있음(주출입구), 안내요원 있음, 시각경보기 있음_청각장애인 편의시설"
더잭슨나인스호텔,"{'춘천': 0.286, '화천': 0.157, '강원도': 0.122, '홍천': 0.097}","장애인 주차장 있음, 지하주차장에서 엘리베이터 이용 가능, 엘리베이터 있음, 장애인 객실 있음, 점자안내(엘리베이터 내부), 점자블럭 있음(엘리베이터 앞)"
춘천일기스테이,"{'공지천': 0.594, '춘천': 0.186, '하중도': 0.144, '의암호': 0.137, '춘천시': 0.116, '강원도': 0.059}",X
호텔공지천,"{'춘천': 0.187, '강촌': 0.117, '남이섬': 0.117}",X
남이섬설리조트,"{'철원읍': 0.189, '한탄강': 0.143, '강원도': 0.078}",X
봄스테이,"{'효자동': 0.19, '춘천시': 0.154, '강원도': 0.078}",X
쏠리오,{},X
하늘풍경펜션,{'강촌': 0.457},X
리버웍펜션,{},X
아름다운집,"{'강촌': 0.245, '남이섬': 0.122}",X
비안단테 펜션,"{'춘천역': 0.254, '춘천': 0.178}",X
헤이춘천,{'공지천': 0.156},X
1962호텔,"{'남춘천역': 0.223, '레고랜드': 0.223, '춘천': 0.144, '강원도': 0.092}","휠체어 접근로 있음, 지체장애인을 위한 홍보물 있음, 보조견 동반 가능, 점자홍보물 있음"
넘버25 호텔 남춘천점,"{'춘천': 0.28, '강대': 0.23, '강원도': 0.089}","장애인 주차구역 있음, 경사로 있음, 출입구까지 턱이 없이 접근 가능, 출입구까지 경사로 설치, 점자블록 있음"
리버사이드호텔,"{'소양강댐': 0.202, '춘천': 0.131, '강원도': 0.083}",출입구까지 턱이 없이 접근 가능
브라운도트호텔 남춘천점,{'남춘천역': 0.219},"장애인 주차구역 있음, 경사로 있음, 출입구까지 턱이 없이 접근 가능, 출입구까지 경사로 설치, 점자블록 있음"
스테이 물결,"{'효자동': 0.171, '춘천시': 0.139, '강원도': 0.071}",X
YlangYlang,"{'퇴계동': 0.245, '공지천': 0.19, '춘천': 0.149, '강원도': 0.095}","장애인 주차구역 있음, 대중교통 이용 가능, 휠체어 접근로 있음"
호연담,"{'레고랜드': 0.113, '춘천역': 0.104, '춘천': 0.073}",X
호텔정관루본관,"{'남이섬': 0.449, '춘천': 0.119, '강원도': 0.076}",X
리젠트모텔,"{'소양강댐': 0.34, '공지천': 0.281, '춘천시': 0.276}",엘리베이터 있음.
제이드모텔,"{'강원': 0.247, '청평사': 0.185, '춘천시': 0.141, '춘천': 0.113}",X
큐모텔,"{'춘천': 0.351, '춘천시': 0.22}",엘리베이터 있음
테마모텔,"{'춘천': 0.571, '공지천': 0.122, '춘천시': 0.119, '중앙시장': 0.117, '강원': 0.104}",엘리베이터 있음
숲속의강촌,"{'강촌': 0.515, '남이섬': 0.172}",X
