질의,포함핵심어,포함개수,추천_숙소1,추천_숙소2,추천_숙소3
속초에 방음시설이 잘 갖춰진 숙소가 있나요?,"속초, 방음시설",2,설악파인리조트,추천 실패,추천 실패
설악산 근처나 속초에 위치한 숙소가 있나요?,"설악산, 속초",2,팜파스 호텔&리조트 속초,설악파인리조트,한화호텔앤드리조트(쏘라노)
조양동 근처에 고령자에게 적합한 숙소가 있나요?,"조양동, 속초시, 속초",3,베니키아 산과 바다 속초,팜파스 호텔&리조트 속초,마레몬스호텔
출입구까지 경사로가 설치된 숙소가 있나요?,출입구까지 경사로가 설치되어 있음,1,초원리조텔,호텔 아마란스,설악산파크리조트
속초시나 강원 지역에 고령자에게 적합한 숙소가 있을까요?,"속초시, 강원",2,더케이설악산가족호텔,팜파스 호텔&리조트 속초,마레몬스호텔
오색에 위치한 숙소는 어떤 곳들이 있나요?,오색,1,추천 실패,추천 실패,추천 실패
속초에 고령자나 장애인에게 적합한 숙소가 있나요?,속초,1,헬리오스모텔,마레몬스호텔,더 호텔 속초 바이 베스트 웨스턴 시그니처 컬렉션
설악에 계단 없는 주 출입구와 엘리베이터로 위층 이동이 가능한 숙소가 있나요?,"설악, 계단 없는 주 출입구, 엘리베이터 위층 이동 가능",3,설악힐호텔,르컬렉티브 속초중앙,켄싱턴스타호텔
설악산 근처에 엘리베이터가 있는 숙소가 있나요?,"설악산, 엘리베이터 있음",2,팜파스 호텔&리조트 속초,설악파인리조트,더케이설악산가족호텔
속초시나 장사항 근처에 장애인 화장실이 있는 숙소가 있나요?,"속초시, 장사항, 장애인 화장실 있음",3,더케이설악산가족호텔,헬리오스모텔,마레몬스호텔
동해안에 반려견 동반이 가능하고 출입구까지 경사로가 설치된 숙소가 있나요?,"동해안, 반려견 동반 가능(사전문의), 출입구까지 경사로가 설치되어 있음",3,더 레드 하우스,뉴스타트설악리조트[한국관광 품질인증/Korea Quality],추천 실패
속초시 강원 지역에 위치한 숙소들은 어떤 곳들이 있나요?,"속초시, 강원, 속초",3,조양펜션,위드유[한국관광 품질인증/Korea Quality],시나브로 모텔
금연 객실을 이용할 수 있는 숙소가 있나요?,금연 객실 이용 가능,1,체스터톤스 속초,현대수콘도미니엄,롯데리조트 속초
솜 베개가 제공되는 숙소가 있나요?,솜 베개,1,설악파인리조트,라마다 속초,추천 실패
1층에 장애인 화장실이 있는 숙소가 있나요?,장애인 화장실 있음(1층),1,더케이설악산가족호텔,헬리오스모텔,추천 실패
설악산 근처에 머물기 좋은 숙소가 속초나 강원도에 있을까요?,"설악산, 속초, 강원도",3,켄싱턴스타호텔,뉴스타트설악리조트[한국관광 품질인증/Korea Quality],설악파인리조트
설악산 근처에 위치한 숙소가 있나요?,설악산,1,설악산파크리조트,한화호텔앤드리조트(쏘라노),위너스모텔
설악산 근처에 휠체어 대여가 가능한 숙소가 있나요?,"설악산, 휠체어대여가능",2,더케이설악산가족호텔,추천 실패,추천 실패
속초에서 시설 전체가 휠체어로 이용 가능한 숙소가 있을까요?,"속초, 시설 전체 휠체어 이용 가능",2,비즈니스 호텔 카멜,마리나베이 속초,추천 실패
속초나 대포항 근처에 위치한 숙소 추천해 주실 수 있나요?,"속초, 대포항",2,르컬렉티브 속초중앙,호텔굿모닝,도미니클라바 속초
속초에 장애인 편의시설이 잘 갖춰진 숙소가 있나요?,"속초, 장애인 편의시설",2,헬리오스모텔,마레몬스호텔,롯데리조트 속초
속초에 엘리베이터가 있는 숙소를 찾을 수 있을까요?,"속초, 엘리베이터",2,호텔더블루테라,시나브로 모텔,마레몬스호텔
속초시에서 설악산과 가까운 숙소가 있나요?,"속초시, 설악산",2,한화호텔앤드리조트(쏘라노),설악파인리조트,팜파스 호텔&리조트 속초
속초시에서 고령자나 장애인이 머물기 좋은 숙소가 있나요?,속초시,1,헬리오스모텔,마레몬스호텔,롯데리조트 속초
속초에서 대포항 근처에 엘리베이터가 있는 숙소를 찾을 수 있을까요?,"속초, 대포항, 엘리베이터",3,팜파스 호텔&리조트 속초,체스터톤스 속초,시나브로 모텔
속초에 장애인 편의시설과 엘리베이터가 갖춰진 숙소가 있나요?,"속초, 장애인 편의시설, 엘리베이터",3,더 호텔 속초 바이 베스트 웨스턴 시그니처 컬렉션,더케이설악산가족호텔,헬리오스모텔
속초나 대포항 근처에 설악산을 방문하기 좋은 숙소가 있나요?,"속초, 대포항, 설악",3,라마다 속초,뉴스타트설악리조트[한국관광 품질인증/Korea Quality],팜파스 호텔&리조트 속초
속초나 설악 근처에 계단 없는 주 출입구가 있는 숙소가 있을까요?,"속초, 설악, 계단 없는 주 출입구",3,르컬렉티브 속초중앙,켄싱턴스타호텔,씨크루즈 호텔 속초
설악산 근처에 출입구까지 경사로가 설치된 숙소가 있나요?,"설악산, 출입구까지 경사로가 설치되어 있음",2,뉴스타트설악리조트[한국관광 품질인증/Korea Quality],추천 실패,추천 실패
속초에 점자 안내판이 있는 숙소를 추천해 주실 수 있나요?,"속초, 점자 안내판",2,르컬렉티브 속초중앙,마레몬스호텔,추천 실패
설악 지역에 장애인 편의시설이 잘 갖춰진 숙소가 있나요?,"설악, 장애인 편의시설",2,더 호텔 속초 바이 베스트 웨스턴 시그니처 컬렉션,한화호텔앤드리조트(쏘라노),마레몬스호텔
엘리베이터가 있는 숙소를 추천해 주실 수 있나요?,엘리베이터,1,더 호텔 속초 바이 베스트 웨스턴 시그니처 컬렉션,호텔 아마란스,호텔더블루테라
속초나 강원도에 위치한 숙소 중에서 경치가 좋은 곳 추천해 주실 수 있나요?,"속초, 강원도",2,팜파스 호텔&리조트 속초,해맞이모텔,도미니클라바 속초
설악산 근처에 장애인 객실이 있는 숙소가 있나요?,"설악산, 장애인 객실 있음",2,헬리오스모텔,더케이설악산가족호텔,추천 실패
설악산 근처에 주출입구에 점자블록이 있는 숙소가 있을까요?,"설악산, 점자블록 있음(주출입구",2,추천 실패,추천 실패,추천 실패
속초에서 휠체어 이용 가능한 숙소가 있나요?,"속초, 휠체어 이용 가능",2,설악힐호텔,더케이설악산가족호텔,마리나베이 속초
속초시에 있는 숙소 중 대포항 근처에 위치한 곳이 있나요?,"속초시, 대포항, 속초",3,라마다 속초,호텔굿모닝,설악힐호텔
속초나 설악 근처에 장애인 지원 객실이 있는 숙소가 있나요?,"속초, 설악, 장애인 지원 객실",3,헬리오스모텔,씨크루즈 호텔 속초,더케이설악산가족호텔
속초에 장애인 편의시설이 잘 갖춰져 있고 솜 베개가 제공되는 숙소가 있나요?,"속초, 장애인 편의시설, 솜 베개",3,롯데리조트 속초,헬리오스모텔,더 호텔 속초 바이 베스트 웨스턴 시그니처 컬렉션
속초나 속초시 지역에서 고령자에게 적합한 숙소가 어디에 있나요?,"속초, 속초시",2,팜파스 호텔&리조트 속초,현대수콘도미니엄,마레몬스호텔
엘리베이터로 이동 가능한 숙소가 있나요?,엘리베이터로 이동 가능,1,설악파인리조트,체스터톤스 속초,시나브로 모텔
속초 중앙시장 근처에 숙소가 있나요?,"속초, 중앙시장",2,체스터톤스 속초,롯데리조트 속초,위드유[한국관광 품질인증/Korea Quality]
설악이나 속초에 장애인 편의시설이 잘 갖춰진 숙소가 있나요?,"설악, 속초, 장애인 편의시설",3,헬리오스모텔,마레몬스호텔,더 호텔 속초 바이 베스트 웨스턴 시그니처 컬렉션
장애인 편의시설이 잘 갖춰진 숙소를 추천해 주실 수 있나요?,장애인 편의시설,1,한화호텔앤드리조트(쏘라노),체스터톤스 속초,롯데리조트 속초
점자블록과 점자홍보물이 있는 숙소가 있나요?,"점자블록 있음, 점자홍보물 있음",2,속초 관광호텔 베리트,더케이설악산가족호텔,헬리오스모텔
속초나 설악산 근처에 고령자에게 적합한 숙소가 있나요?,"속초, 속초시, 설악산",3,베니키아 산과 바다 속초,팜파스 호텔&리조트 속초,마레몬스호텔
설악동에 위치한 숙소에서 설악산까지 이동하기 편리한 곳이 있나요?,"설악동, 설악산",2,설악파인리조트,한화호텔앤드리조트(쏘라노),르컬렉티브 속초중앙
속초나 대포항 근처에 알러지프리 객실이 있는 숙소가 있나요?,"속초, 대포항, 알러지프리 객실",3,팜파스 호텔&리조트 속초,라마다 속초,체스터톤스 속초
엘리베이터가 있는 숙소를 추천해 주실 수 있나요?,엘리베이터 있음,1,더 호텔 속초 바이 베스트 웨스턴 시그니처 컬렉션,호텔 아마란스,호텔더블루테라
설악산 근처에 위치한 숙소 중에서 동해를 조망할 수 있는 곳이 있나요?,"속초시, 설악산, 동해",3,켄싱턴스타호텔,한화호텔앤드리조트(쏘라노),설악파인리조트
설악산 주변에서 출입구까지 경사로가 설치되어 있고 장애인 객실이 있는 숙소가 있나요?,"설악산, 출입구까지 경사로가 설치되어 있음, 장애인 객실 있음",3,헬리오스모텔,더케이설악산가족호텔,추천 실패
속초나 설악 근처에 엘리베이터가 있는 숙소가 있을까요?,"속초, 설악, 엘리베이터",3,체스터톤스 속초,시나브로 모텔,도미니클라바 속초
설악산이나 동해 근처에 엘리베이터가 있는 숙소가 있나요?,"설악산, 동해, 엘리베이터 있음",3,설악파인리조트,더케이설악산가족호텔,한화호텔앤드리조트(쏘라노)
속초 근처 국제공항에서 가까우면서 금연 구역이 있는 숙소가 있나요?,"속초, 국제공항, 금연",3,비즈니스 호텔 카멜,현대수콘도미니엄,추천 실패
속초에 계단 없는 주 출입구가 있는 숙소가 있나요?,"속초, 계단 없는 주 출입구",2,르컬렉티브 속초중앙,켄싱턴스타호텔,씨크루즈 호텔 속초
속초에 있는 숙소 중에서 국제공항과 가까우며 장애인 편의시설이 잘 갖춰진 곳이 있을까요?,"속초, 국제공항, 장애인 편의시설",3,라마다 속초,마레몬스호텔,더 호텔 속초 바이 베스트 웨스턴 시그니처 컬렉션
속초나 대포항 근처에 금연 가능한 숙소가 있나요?,"속초, 대포항, 금연",3,도미니클라바 속초,추천 실패,추천 실패
속초에 엘리베이터로 위층 이동이 가능하고 시설 전체가 휠체어 이용 가능한 숙소가 있나요?,"속초, 엘리베이터로 위층 이동 가능, 시설 전체 휠체어 이용 가능",3,마리나베이 속초,체스터톤스 속초,추천 실패
장애인 객실이 있는 숙소를 추천해 주실 수 있나요?,장애인 객실 있음,1,헬리오스모텔,켄싱턴스타호텔,씨크루즈 호텔 속초
속초시에 엘리베이터가 있는 숙소가 있나요?,"속초시, 엘리베이터 있음",2,설악파인리조트,호텔더블루테라,시나브로 모텔
속초에 전용 출입구가 있는 숙소가 있나요?,"속초, 전용 출입구",2,현대수콘도미니엄,추천 실패,추천 실패
조양동에 위치한 숙소에 대해 추천해 주실 수 있나요?,조양동,1,미라지모텔,시나브로 모텔,아이리스모텔
장애인 휠체어길이 있는 숙소가 있나요?,장애인 휠체어길 있음,1,설악힐호텔,마리나베이 속초,위너스모텔
속초시나 대포항 근처에 위치한 숙소를 추천해 주실 수 있나요?,"속초시, 대포항",2,르컬렉티브 속초중앙,호텔굿모닝,도미니클라바 속초
금연 객실을 제공하는 숙소가 있나요?,금연,1,체스터톤스 속초,현대수콘도미니엄,롯데리조트 속초
점자블록이 있는 숙소가 있나요?,점자블록 있음,1,더케이설악산가족호텔,헬리오스모텔,두호텔
"장애인 지원 객실이 있는 숙소를 찾고 있는데, 어떤 곳이 있을까요?",장애인 지원 객실,1,초원리조텔,켄싱턴스타호텔,씨크루즈 호텔 속초
속초에 솜 베개가 제공되는 숙소가 있을까요?,"속초, 솜 베개",2,라마다 속초,체스터톤스 속초,추천 실패
동해안에 반려견 동반이 가능한 숙소가 있나요? (사전문의가 필요한 경우도 알려주세요.),"동해안, 반려견 동반 가능(사전문의)",2,더 레드 하우스,리센 오션파크 속초,추천 실패
속초에 장애인 편의시설과 알러지프리 객실을 갖춘 숙소가 있나요?,"속초, 장애인 편의시설, 알러지프리 객실",3,더 호텔 속초 바이 베스트 웨스턴 시그니처 컬렉션,롯데리조트 속초,헬리오스모텔
휠체어를 이용할 수 있는 숙소가 있나요?,휠체어 이용 가능,1,비즈니스 호텔 카멜,마레몬스호텔,설악파인리조트
속초에 계단 난간이 있는 숙소가 있을까요?,"속초, 계단 난간",2,헬리오스모텔,마리나베이 속초,위드유[한국관광 품질인증/Korea Quality]
속초에 알러지프리 객실과 엘리베이터가 있는 숙소가 있나요?,"속초, 알러지프리 객실, 엘리베이터",3,더 호텔 속초 바이 베스트 웨스턴 시그니처 컬렉션,체스터톤스 속초,추천 실패
동해안에 출입구까지 경사로가 설치된 숙소가 있나요?,"동해안, 출입구까지 경사로가 설치되어 있음",2,초원리조텔,더 레드 하우스,호텔 아마란스
속초에 솜 베개가 제공되고 장애인 지원 객실이 있는 숙소가 있을까요?,"속초, 솜 베개, 장애인 지원 객실",3,롯데리조트 속초,헬리오스모텔,씨크루즈 호텔 속초
대포항 주변에 점자블록이 있는 숙소가 있나요?,"대포항, 점자블록 있음",2,헬리오스모텔,두호텔,추천 실패
설악 근처에 엘리베이터가 있는 숙소가 있을까요?,"설악, 엘리베이터",2,한화호텔앤드리조트(쏘라노),베니키아 산과 바다 속초,설악파인리조트
속초 근처 국제공항과 가까운 곳에 엘리베이터로 이동 가능한 숙소가 있을까요?,"속초, 국제공항, 엘리베이터로 이동 가능",3,비즈니스 호텔 카멜,설악힐호텔,시나브로 모텔
속초 근처 국제공항에서 엘리베이터가 있는 숙소를 찾을 수 있을까요?,"속초, 국제공항, 엘리베이터",3,설악힐호텔,팜파스 호텔&리조트 속초,시나브로 모텔
조양동이나 속초시 근처에 숙박할 만한 좋은 장소가 있을까요?,"조양동, 속초시",2,시나브로 모텔,위드유[한국관광 품질인증/Korea Quality],추천 실패
설악산 근처 신흥사 주변에 장애인 객실이 있는 숙소가 있나요?,"설악산, 신흥사, 장애인 객실 있음",3,헬리오스모텔,더케이설악산가족호텔,추천 실패
큰활자홍보물과 안내요원이 마련되어 있고 엘리베이터도 있는 숙소가 있나요?,"큰활자홍보물 있음, 안내요원 있음, 엘리베이터 있음",3,추천 실패,추천 실패,추천 실패
속초에 계단 난간이 잘 설치되어 있고 주 출입구에 계단이 없는 숙소가 있을까요?,"속초, 계단 난간, 계단 없는 주 출입구",3,르컬렉티브 속초중앙,씨크루즈 호텔 속초,마레몬스호텔
장애인 전용 주차구역이 있는 숙소가 있나요?,장애인 전용 주차구역 있음,1,더케이설악산가족호텔,헬리오스모텔,뉴스타트설악리조트[한국관광 품질인증/Korea Quality]
속초에 휠체어 접근이 용이하고 엘리베이터가 있는 숙소가 있나요?,"속초, 출입구까지 턱이 없어 휠체어 접근 가능함, 엘리베이터 있음",3,설악힐호텔,설악파인리조트,체스터톤스 속초
설악동에 고령자에게 적합한 숙소가 있나요?,설악동,1,베니키아 산과 바다 속초,마레몬스호텔,호텔굿모닝
속초에 엘리베이터와 전용 출입구가 있는 숙소를 찾을 수 있을까요?,"속초, 엘리베이터, 전용 출입구",3,팜파스 호텔&리조트 속초,설악파인리조트,시나브로 모텔
속초에 솜 베개와 엘리베이터가 있는 숙소를 찾을 수 있을까요?,"속초, 솜 베개, 엘리베이터",3,체스터톤스 속초,시나브로 모텔,추천 실패
설악 근처에서 엘리베이터로 위층 이동이 가능한 숙소가 있나요?,"설악, 엘리베이터 위층 이동 가능",2,베니키아 산과 바다 속초,설악파인리조트,켄싱턴스타호텔
설악산 근처에 엘리베이터와 출입구까지 경사로가 설치되어 있는 숙소가 있나요?,"설악산, 엘리베이터 있음, 출입구까지 경사로가 설치되어 있음",3,한화호텔앤드리조트(쏘라노),설악파인리조트,뉴스타트설악리조트[한국관광 품질인증/Korea Quality]
설악 근처에 계단 없는 주 출입구가 있는 숙소가 있나요?,"설악, 계단 없는 주 출입구",2,르컬렉티브 속초중앙,켄싱턴스타호텔,씨크루즈 호텔 속초
엘리베이터가 2대 있는 숙소가 있나요?,엘리베이터 있음.(2대),1,시나브로 모텔,추천 실패,추천 실패
"장애인 화장실과 점자블록이 있는 숙소를 찾고 있는데, 큰활자홍보물도 제공되나요?","장애인 화장실 있음 (건물 2층 카페 앞에), 큰활자홍보물 있음, 점자블록 있음",3,더케이설악산가족호텔,헬리오스모텔,추천 실패
속초에 방음시설과 엘리베이터가 갖춰진 숙소가 있나요?,"속초, 방음시설, 엘리베이터",3,설악파인리조트,체스터톤스 속초,팜파스 호텔&리조트 속초
강원도 속초시에서 고령자에게 적합한 숙소를 추천해 주실 수 있나요?,"속초시, 강원도",2,팜파스 호텔&리조트 속초,더케이설악산가족호텔,마레몬스호텔
속초시에 장애인 전용 주차구역과 엘리베이터가 있는 숙소가 있나요?,"속초시, 장애인 전용 주차구역 있음, 엘리베이터 있음",3,롯데리조트 속초,뉴스타트설악리조트[한국관광 품질인증/Korea Quality],헬리오스모텔
속초나 낙산해수욕장 근처에 엘리베이터가 있는 숙소가 있나요?,"속초, 낙산해수욕장, 엘리베이터",3,더 호텔 속초 바이 베스트 웨스턴 시그니처 컬렉션,호텔더블루테라,마리나베이 속초
속초나 장사항 근처에 위치한 숙소가 있나요?,"속초, 장사항",2,팜파스 호텔&리조트 속초,위드유[한국관광 품질인증/Korea Quality],체스터톤스 속초
장사항 근처에 위치한 숙소는 어떤 곳들이 있나요?,장사항,1,라마다 속초,호텔더블루테라,속초 관광호텔 베리트
"조양동이나 속초시, 강릉에 위치한 숙소를 추천해 주실 수 있나요?","조양동, 속초시, 강릉",3,팜파스 호텔&리조트 속초,시나브로 모텔,도미니클라바 속초
